la,unemployed_perc
County Durham,5.4
Darlington,6.1
Hartlepool,7.5
Middlesbrough,7.6
Northumberland,4.7
Redcar and Cleveland,5.6
Stockton-on-Tees,5.7
Gateshead,5.6
Newcastle upon Tyne,6.1
North Tyneside,4.3
South Tyneside,7.5
Sunderland,6.5
Blackburn with Darwen,5.5
Blackpool,5.6
Cheshire East,3.0
Cheshire West and Chester,3.4
Halton,3.7
Warrington,3.2
Allerdale,3.3
Barrow-in-Furness,4.7
Carlisle,2.9
Copeland,3.5
Eden,1.5
South Lakeland,1.6
Bolton,5.8
Bury,4.4
Manchester,5.8
Oldham,4.5
Rochdale,5.6
Salford,4.6
Stockport,3.7
Tameside,4.1
Trafford,3.7
Wigan,3.6
Burnley,5.6
Chorley,3.1
Fylde,2.3
Hyndburn,4.3
Lancaster,4.5
Pendle,4.3
Preston,3.7
Ribble Valley,1.9
Rossendale,3.0
South Ribble,2.6
West Lancashire,4.0
Wyre,2.9
Knowsley,3.8
Liverpool,4.8
Sefton,3.4
St. Helens,4.3
Wirral,4.0
East Riding of Yorkshire,3.5
"Kingston upon Hull, City of",6.6
North East Lincolnshire,5.3
North Lincolnshire,4.3
York,2.8
Craven,2.8
Hambleton,2.7
Harrogate,2.4
Richmondshire,2.6
Ryedale,2.6
Scarborough,3.5
Selby,3.3
Barnsley,4.7
Doncaster,5.3
Rotherham,5.0
Sheffield,4.2
Bradford,6.4
Calderdale,4.1
Kirklees,4.1
Leeds,4.3
Wakefield,4.3
Derby,4.3
Leicester,4.8
Nottingham,6.9
Rutland,2.5
Amber Valley,2.6
Bolsover,3.5
Chesterfield,4.9
Derbyshire Dales,2.1
Erewash,3.1
High Peak,3.3
North East Derbyshire,3.1
South Derbyshire,2.3
Blaby,2.7
Charnwood,2.9
Harborough,2.3
Hinckley and Bosworth,3.0
Melton,3.6
North West Leicestershire,3.3
Oadby and Wigston,2.8
Boston,4.1
East Lindsey,4.3
Lincoln,5.5
North Kesteven,2.9
South Holland,3.3
South Kesteven,3.4
West Lindsey,3.8
Corby,3.6
Daventry,3.2
East Northamptonshire,2.5
Kettering,3.9
Northampton,4.1
South Northamptonshire,2.0
Wellingborough,3.9
Ashfield,3.3
Bassetlaw,3.5
Broxtowe,3.7
Gedling,3.6
Mansfield,4.0
Newark and Sherwood,4.1
Rushcliffe,2.4
"Herefordshire, County of",2.6
Shropshire,3.1
Stoke-on-Trent,4.7
Telford and Wrekin,3.8
Cannock Chase,2.7
East Staffordshire,2.7
Lichfield,2.9
Newcastle-under-Lyme,3.3
South Staffordshire,2.8
Stafford,3.0
Staffordshire Moorlands,3.0
Tamworth,3.6
North Warwickshire,3.1
Nuneaton and Bedworth,3.9
Rugby,3.6
Stratford-on-Avon,2.3
Warwick,2.7
Birmingham,8.2
Coventry,4.6
Dudley,5.0
Sandwell,5.5
Solihull,4.1
Walsall,6.0
Wolverhampton,6.7
Bromsgrove,3.5
Malvern Hills,2.8
Redditch,3.5
Worcester,3.7
Wychavon,2.8
Wyre Forest,4.0
Bedford,3.9
Central Bedfordshire,2.3
Luton,4.6
Peterborough,5.1
Southend-on-Sea,3.9
Thurrock,4.6
Cambridge,2.4
East Cambridgeshire,2.1
Fenland,3.6
Huntingdonshire,2.7
South Cambridgeshire,1.9
Basildon,4.2
Braintree,3.0
Brentwood,2.8
Castle Point,2.9
Chelmsford,2.5
Colchester,3.7
Epping Forest,2.8
Harlow,5.2
Maldon,2.6
Rochford,2.2
Tendring,4.9
Uttlesford,2.1
Broxbourne,3.6
Dacorum,2.4
East Hertfordshire,2.3
Hertsmere,2.8
North Hertfordshire,2.9
St Albans,3.0
Stevenage,3.1
Three Rivers,2.7
Watford,3.0
Welwyn Hatfield,3.2
Breckland,2.9
Broadland,2.0
Great Yarmouth,5.6
King's Lynn and West Norfolk,3.3
North Norfolk,2.6
Norwich,4.4
South Norfolk,2.3
Babergh,3.2
East Suffolk,3.1
Ipswich,4.9
Mid Suffolk,2.5
West Suffolk,2.5
Camden,4.5
Hackney,4.9
Hammersmith and Fulham,5.0
Haringey,4.1
Islington,4.8
Kensington and Chelsea,4.9
Lambeth,5.3
Lewisham,4.7
Newham,4.8
Southwark,4.8
Tower Hamlets,5.4
Wandsworth,3.5
Westminster,4.2
Barking and Dagenham,5.7
Barnet,4.5
Bexley,4.2
Brent,4.7
Bromley,3.0
Croydon,5.3
Ealing,5.4
Enfield,6.0
Greenwich,4.8
Harrow,4.3
Havering,4.6
Hillingdon,4.0
Hounslow,5.0
Kingston upon Thames,3.2
Merton,4.3
Redbridge,4.3
Richmond upon Thames,2.6
Sutton,4.2
Waltham Forest,5.2
Bracknell Forest,2.5
Brighton and Hove,3.8
Isle of Wight,3.6
Medway,4.1
Milton Keynes,3.8
Portsmouth,3.9
Reading,3.4
Slough,4.1
Southampton,4.5
West Berkshire,2.5
Windsor and Maidenhead,2.4
Wokingham,2.1
Buckinghamshire,2.8
Aylesbury Vale,2.7
Chiltern,2.6
South Bucks,2.4
Wycombe,3.2
Eastbourne,4.2
Hastings,4.3
Lewes,3.7
Rother,3.3
Wealden,2.5
Basingstoke and Deane,2.8
East Hampshire,2.1
Eastleigh,2.8
Fareham,2.2
Gosport,3.7
Hart,1.7
Havant,3.2
New Forest,2.2
Rushmoor,2.6
Test Valley,2.7
Winchester,2.8
Ashford,3.7
Canterbury,4.2
Dartford,2.5
Dover,5.0
Gravesham,4.6
Maidstone,2.9
Sevenoaks,2.7
Folkestone and Hythe,3.7
Swale,4.7
Thanet,5.7
Tonbridge and Malling,2.6
Tunbridge Wells,2.5
Cherwell,2.2
Oxford,2.9
South Oxfordshire,2.1
Vale of White Horse,2.6
West Oxfordshire,2.0
Elmbridge,2.3
Epsom and Ewell,2.3
Guildford,1.8
Mole Valley,1.9
Reigate and Banstead,2.2
Runnymede,2.2
Spelthorne,2.5
Surrey Heath,2.1
Tandridge,2.3
Waverley,1.8
Woking,2.1
Adur,3.0
Arun,3.3
Chichester,2.6
Crawley,3.5
Horsham,2.2
Mid Sussex,1.9
Worthing,3.1
Bath and North East Somerset,3.4
"Bournemouth, Christchurch and Poole",3.0
"Bristol, City of",3.9
Cornwall,3.1
Dorset,2.6
North Somerset,3.2
Plymouth,4.3
South Gloucestershire,2.6
Swindon,3.5
Torbay,3.8
Wiltshire,2.7
East Devon,2.1
Exeter,2.8
Mid Devon,2.7
North Devon,2.4
South Hams,2.0
Teignbridge,2.6
Torridge,2.4
West Devon,2.3
Cheltenham,3.0
Cotswold,2.3
Forest of Dean,3.2
Gloucester,3.7
Stroud,2.1
Tewkesbury,3.1
Mendip,3.0
Sedgemoor,3.8
Somerset West and Taunton,3.1
South Somerset,2.8
Isle of Anglesey,4.0
Gwynedd,3.5
Conwy,3.7
Denbighshire,4.0
Flintshire,3.2
Wrexham,4.5
Powys,2.7
Ceredigion,3.4
Pembrokeshire,4.2
Carmarthenshire,3.8
Swansea,4.5
Neath Port Talbot,4.2
Bridgend,4.0
Vale of Glamorgan,3.6
Cardiff,4.1
Rhondda Cynon Taf,4.8
Merthyr Tydfil,4.7
Caerphilly,4.6
Blaenau Gwent,4.7
Torfaen,4.4
Monmouthshire,2.9
Newport,4.6
Aberdeen City,3.1
Aberdeenshire,2.3
Angus,3.2
Argyll and Bute,2.9
City of Edinburgh,2.6
Clackmannanshire,3.3
Dumfries and Galloway,3.2
Dundee City,5.4
East Ayrshire,4.5
East Dunbartonshire,2.6
East Lothian,2.7
East Renfrewshire,2.7
Falkirk,3.7
Fife,4.1
Glasgow City,4.7
Highland,2.8
Inverclyde,4.8
Midlothian,2.7
Moray,3.2
Na h-Eileanan Siar,2.4
North Ayrshire,5.3
North Lanarkshire,4.1
Orkney Islands,1.9
Perth and Kinross,2.3
Renfrewshire,3.7
Scottish Borders,3.0
Shetland Islands,2.2
South Ayrshire,3.7
South Lanarkshire,3.2
Stirling,3.8
West Dunbartonshire,4.4
West Lothian,2.9
